pos_date,pos_hour,date_hour,shop_nm,sales_amt,prom_yn
20170626,21,2017062621,A,3309.0,Y
20170626,21,2017062621,B,1103.0,Y
20170627,15,2017062715,B,2095.0,Y
20170627,15,2017062715,A,1764.0,Y
20170628,18,2017062818,B,2867.0,Y
20170628,18,2017062818,A,4412.0,Y
20170629,20,2017062920,B,2426.0,Y
20170629,11,2017062911,B,330.0,Y
20170629,20,2017062920,A,3970.0,Y
20170629,11,2017062911,A,772.0,Y
20170630,17,2017063017,A,3419.0,Y
20170630,17,2017063017,B,3088.0,Y
20170601,11,2017060111,B,330.0,N
20170604,10,2017060410,B,441.0,N
20170613,10,2017061310,B,551.0,N
20170622,10,2017062210,B,551.0,N
20170622,10,2017062210,A,441.0,N
20170613,10,2017061310,A,220.0,N
20170601,21,2017060121,B,2095.0,N
20170601,21,2017060121,A,1654.0,N
20170601,12,2017060112,A,661.0,N
20170601,12,2017060112,B,661.0,N
20170602,15,2017060215,B,3309.0,N
20170602,15,2017060215,A,2206.0,N
20170603,18,2017060318,A,3088.0,N
20170603,18,2017060318,B,3970.0,N
20170604,20,2017060420,B,3419.0,N
20170604,20,2017060420,A,1875.0,N
20170604,11,2017060411,A,992.0,N
20170605,14,2017060514,B,1433.0,N
20170605,14,2017060514,A,2316.0,N
20170606,17,2017060617,A,2536.0,N
20170606,17,2017060617,B,1875.0,N
20170608,22,2017060822,B,1433.0,N
20170608,22,2017060822,A,2867.0,N
20170608,13,2017060813,A,1213.0,N
20170609,16,2017060916,B,2206.0,N
20170609,16,2017060916,A,2316.0,N
20170610,21,2017061021,B,3088.0,N
20170610,21,2017061021,A,3750.0,N
20170610,12,2017061012,B,1544.0,N
20170610,12,2017061012,A,1544.0,N
20170611,15,2017061115,B,1654.0,N
20170611,15,2017061115,A,2206.0,N
20170612,18,2017061218,B,1764.0,N
20170612,18,2017061218,A,2757.0,N
20170613,20,2017061320,B,1764.0,N
20170613,20,2017061320,A,2095.0,N
20170613,11,2017061311,B,992.0,N
20170614,14,2017061414,B,992.0,N
20170615,17,2017061517,B,1985.0,N
20170615,17,2017061517,A,3088.0,N
20170616,10,2017061610,B,992.0,N
20170617,22,2017061722,A,2679.0,N
20170617,22,2017061722,B,4853.0,N
20170617,13,2017061713,B,5294.0,N
20170617,13,2017061713,A,2052.0,N
20170618,16,2017061816,B,3198.0,N
20170618,16,2017061816,A,2647.0,N
20170619,19,2017061919,B,3088.0,N
20170619,19,2017061919,A,2426.0,N
20170620,15,2017062015,B,3639.0,N
20170620,15,2017062015,A,4963.0,N
20170621,18,2017062118,B,4081.0,N
20170621,18,2017062118,A,3529.0,N
20170622,20,2017062220,B,2978.0,N
20170622,11,2017062211,A,330.0,N
20170622,20,2017062220,A,4191.0,N
20170622,11,2017062211,B,882.0,N
20170623,14,2017062314,A,1103.0,N
20170623,14,2017062314,B,1875.0,N
20170624,17,2017062417,B,3860.0,N
20170624,17,2017062417,A,3198.0,N
20170626,13,2017062613,B,2426.0,Y
20170626,22,2017062622,A,1433.0,Y
20170626,22,2017062622,B,882.0,Y
20170626,13,2017062613,A,1213.0,Y
20170627,16,2017062716,A,2978.0,Y
20170627,16,2017062716,B,2095.0,Y
20170628,19,2017062819,A,3529.0,Y
20170628,19,2017062819,B,2757.0,Y
20170629,21,2017062921,A,3860.0,Y
20170629,21,2017062921,B,1654.0,Y
20170629,12,2017062912,B,1213.0,Y
20170630,18,2017063018,B,2757.0,Y
20170630,18,2017063018,A,4853.0,Y
20170614,14,2017061414,A,772.0,N
20170616,10,2017061610,A,661.0,N
20170625,10,2017062510,A,330.0,Y
20170629,12,2017062912,A,1433.0,Y
20170604,11,2017060411,B,441.0,N
20170608,13,2017060813,B,661.0,N
20170613,11,2017061311,A,110.0,N
20170625,10,2017062510,B,330.0,Y
20170607,10,2017060710,A,220.0,N
20170607,10,2017060710,B,110.0,N
20170601,22,2017060122,B,882.0,N
20170601,13,2017060113,A,882.0,N
20170601,22,2017060122,A,772.0,N
20170602,16,2017060216,A,3750.0,N
20170602,16,2017060216,B,2095.0,N
20170603,19,2017060319,B,2978.0,N
20170603,19,2017060319,A,2978.0,N
20170604,21,2017060421,A,2095.0,N
20170604,12,2017060412,A,1103.0,N
20170604,21,2017060421,B,1544.0,N
20170604,12,2017060412,B,1213.0,N
20170605,15,2017060515,A,1544.0,N
20170605,15,2017060515,B,2978.0,N
20170606,18,2017060618,B,2206.0,N
20170606,18,2017060618,A,1433.0,N
20170607,20,2017060720,A,2426.0,N
20170607,20,2017060720,B,1323.0,N
20170608,14,2017060814,A,1764.0,N
20170608,14,2017060814,B,992.0,N
20170609,17,2017060917,B,2647.0,N
20170609,17,2017060917,A,3088.0,N
20170610,22,2017061022,A,1985.0,N
20170610,22,2017061022,B,1213.0,N
20170610,13,2017061013,B,2757.0,N
20170610,13,2017061013,A,1875.0,N
20170611,16,2017061116,A,1875.0,N
20170611,16,2017061116,B,2206.0,N
20170612,19,2017061219,A,2867.0,N
20170612,19,2017061219,B,2426.0,N
20170613,21,2017061321,B,2095.0,N
20170613,21,2017061321,A,1985.0,N
20170614,15,2017061415,B,1654.0,N
20170614,15,2017061415,A,1323.0,N
20170615,18,2017061518,B,2536.0,N
20170615,18,2017061518,A,3088.0,N
20170616,20,2017061620,A,2251.0,N
20170616,20,2017061620,B,2137.0,N
20170616,11,2017061611,B,1985.0,N
20170616,11,2017061611,A,1764.0,N
20170617,14,2017061714,A,4742.0,N
20170617,14,2017061714,B,1852.0,N
20170618,17,2017061817,B,2536.0,N
20170618,17,2017061817,A,3529.0,N
20170620,16,2017062016,A,2095.0,N
20170620,16,2017062016,B,3750.0,N
20170621,19,2017062119,A,3198.0,N
20170621,19,2017062119,B,3309.0,N
20170622,21,2017062221,A,3639.0,N
20170622,21,2017062221,B,2867.0,N
20170622,12,2017062212,A,1433.0,N
20170622,12,2017062212,B,1213.0,N
20170623,15,2017062315,B,1875.0,N
20170623,15,2017062315,A,2095.0,N
20170624,18,2017062418,B,1767.0,N
20170624,18,2017062418,A,4853.0,N
20170625,20,2017062520,B,3088.0,Y
20170625,20,2017062520,A,1425.0,Y
20170625,11,2017062511,A,441.0,Y
20170626,14,2017062614,A,1654.0,Y
20170627,17,2017062717,A,2757.0,Y
20170627,17,2017062717,B,1764.0,Y
20170628,10,2017062810,A,661.0,Y
20170629,13,2017062913,A,1323.0,Y
20170629,13,2017062913,B,1875.0,Y
20170629,22,2017062922,A,1544.0,Y
20170630,19,2017063019,A,3198.0,Y
20170630,19,2017063019,B,2536.0,Y
20170601,13,2017060113,B,1103.0,N
20170607,11,2017060711,A,220.0,N
20170613,12,2017061312,B,772.0,N
20170617,23,2017061723,A,220.0,N
